Id,TagName,Count,ExcerptPostId,WikiPostId
"1","definitions","31","105","104"
"2","machine-learning","8347","4909","4908"
"3","bigdata","430","66","65"
"5","data-mining","1020","80","79"
"6","databases","79","8960","8959"
"8","libsvm","14","18","17"
"10","scalability","27","",""
"11","efficiency","32","142","141"
"12","performance","135","",""
"13","nosql","20","119","118"
"14","relational-dbms","5","",""
"15","clustering","1047","145","144"
"16","octave","16","68","67"
"17","k-means","339","8958","8957"
"19","algorithms","341","8932","8931"
"21","tools","60","",""
"22","processing","17","",""
"23","apache-hadoop","113","5840","5839"
"24","r","1241","49","48"
"26","data-cleaning","526","8940","8939"
"27","statistics","810","3790","3789"
"29","distributed","34","",""
"31","neo4j","12","181","180"
"35","information-retrieval","112","48747","48746"
"36","google","39","80788","80787"
"37","search","46","",""
"39","education","34","8276","8275"
"40","open-source","17","",""
"42","similarity","211","",""
"43","data-stream-mining","14","109","108"
"45","dimensionality-reduction","207","8975","8974"
"46","python","4854","5523","5522"
"47","nlp","1516","147","146"
"48","language-model","63","",""
"50","topic-model","95","8400","8399"
"51","lda","98","6763","6762"
"54","feature-selection","677","8936","8935"
"55","map-reduce","26","137","136"
"56","mongodb","15","178","177"
"59","indexing","13","152","151"
"60","data-indexing-techniques","7","149","148"
"61","dataset","1098","8889","8888"
"62",".net","8","168","167"
"64","pandas","947","9185","9184"
"65","parallel","36","",""
"66","metadata","10","",""
"67","parsing","27","",""
"71","social-network-analysis","86","8973","8972"
"72","time-series","1227","8904","8903"
"73","javascript","29","",""
"74","visualization","518","8952","8951"
"76","svm","455","8574","8573"
"77","classification","2350","4911","4910"
"78","binary","75","",""
"80","optimization","348","8954","8953"
"81","neural-network","3477","8885","8884"
"82","usecase","6","",""
"83","consumerweb","6","",""
"84","parameter","35","",""
"86","clusters","41","",""
"87","aws","42","",""
"90","text-mining","510","8900","8899"
"94","freebase","3","48674","48673"
"95","knowledge-base","20","",""
"100","confusion-matrix","113","9043","9042"
"101","accuracy","255","",""
"102","categorical-data","293","8977","8976"
"104","data-formats","33","",""
"105","hierarchical-data-format","21","",""
"108","sql","78","8990","8989"
"109","research","40","",""
"110","experiments","27","39144","39143"
"113","random-forest","599","8938","8937"
"114","logistic-regression","488","8934","8933"
"115","evaluation","207","43584","43583"
"116","crawling","10","",""
"119","anonymization","9","",""
"120","beginner","131","10335","10334"
"123","graphs","177","",""
"124","cross-validation","452","8988","8987"
"126","sampling","138","",""
"128","scikit-learn","1658","5896","5895"
"129","kaggle","91","48600","48599"
"135","gradient-descent","353","48491","48490"
"136","feature-extraction","315","10019","10018"
"138","state-of-the-art","7","",""
"139","career","52","",""
"143","genetic","5","",""
"144","correlation","275","8969","8968"
"146","error-handling","42","",""
"147","apache-pig","7","22402","22401"
"156","glm","25","",""
"157","regression","1114","8906","8905"
"158","scala","42","49016","49015"
"159","csv","76","8992","8991"
"160","online-learning","46","",""
"164","gbm","50","9096","9095"
"167","marketing","27","",""
"168","predictive-modeling","934","8902","8901"
"175","library","13","",""
"179","java","53","10021","10020"
"180","energy","4","",""
"184","anomaly-detection","248","48505","48504"
"185","forecast","95","",""
"186","sequence","94","9053","9052"
"191","hbase","2","48678","48677"
"193","tableau","35","",""
"194","deep-learning","3446","8956","8955"
"195","ensemble-modeling","141","48541","48540"
"197","infographics","7","",""
"200","feature-scaling","183","21855","21854"
"201","apache-mahout","15","48660","48659"
"202","hive","17","48745","48744"
"205","object-recognition","57","",""
"206","hog","3","",""
"207","computer-vision","420","9205","9204"
"211","methods","16","",""
"212","scoring","41","",""
"213","ranking","83","9049","9048"
"214","sports","6","",""
"215","markov-process","57","8986","8985"
"216","matlab","146","48517","48516"
"217","simulation","25","",""
"218","finance","43","48020","48019"
"219","apache-spark","224","8971","8970"
"220","linear-regression","545","8887","8886"
"222","version-control","8","",""
"223","convnet","465","12581","12580"
"224","image-classification","582","51105","51104"
"226","software-development","15","",""
"227","rstudio","48","49014","49013"
"229","programming","33","",""
"232","notation","12","57306","57305"
"233","terminology","73","9059","9058"
"235","sas","18","9051","9050"
"236","hyperparameter","124","21852","21851"
"237","survival-analysis","31","9045","9044"
"238","discriminant-analysis","18","9106","9105"
"239","multiclass-classification","361","",""
"240","books","32","",""
"243","genetic-algorithms","45","",""
"244","featurization","5","",""
"249","decision-trees","542","16988","16987"
"250","self-study","40","",""
"251","named-entity-recognition","108","",""
"254","bioinformatics","22","9098","9097"
"255","data","588","35800","35799"
"261","multitask-learning","24","6442","6441"
"266","word-embeddings","329","6614","6613"
"269","software-recommendation","34","9057","9056"
"271","preprocessing","337","73186","73185"
"272","multilabel-classification","240","6780","6779"
"273","reference-request","66","9055","9054"
"274","julia","11","12599","12598"
"276","loss-function","374","48493","48492"
"278","ggplot2","28","21818","21817"
"279","normalization","209","48521","48520"
"280","weighted-data","45","",""
"281","feature-construction","59","",""
"282","supervised-learning","286","9047","9046"
"283","descriptive-statistics","63","9104","9103"
"284","aggregation","29","",""
"286","c","13","",""
"287","missing-data","127","",""
"288","markov","11","",""
"289","expectation-maximization","21","9102","9101"
"290","distance","111","12579","12578"
"291","cosine-distance","62","48664","48663"
"293","learning","30","",""
"298","ipython","52","48858","48857"
"299","anaconda","46","48656","48655"
"301","numerical","19","",""
"302","history","5","",""
"303","outlier","155","12561","12560"
"304","unsupervised-learning","349","9094","9093"
"305","probability","228","73188","73187"
"307","autoencoder","271","8674","8673"
"310","backpropagation","245","36804","36803"
"311","theano","44","48598","48597"
"312","fuzzy-logic","24","57240","57239"
"313","weka","62","18889","18888"
"315","scraping","35","",""
"317","xgboost","509","12577","12576"
"319","data-wrangling","42","",""
"320","data-product","12","",""
"321","tensorflow","1584","9183","9182"
"322","excel","60","",""
"323","semi-supervised-learning","41","63634","63633"
"324","keras","2160","9251","9250"
"325","azure-ml","44","9253","9252"
"327","machine-translation","64","",""
"328","data-imputation","78","43035","43034"
"329","gensim","78","10237","10236"
"330","lsi","7","",""
"331","model-selection","183","43582","43581"
"332","feature-engineering","411","25556","25555"
"333","hinge-loss","9","9986","9985"
"334","stata","6","",""
"335","text","114","",""
"337","json","29","",""
"340","reinforcement-learning","486","9674","9673"
"341","q-learning","110","9676","9675"
"342","google-prediction-api","10","",""
"344","ab-test","40","48409","48408"
"345","nltk","120","10023","10022"
"346","apache-kafka","4","48658","48657"
"347","pybrain","3","48951","48950"
"348","word2vec","273","12733","12732"
"351","convergence","28","",""
"352","pgm","5","9830","9829"
"354","parameter-estimation","36","",""
"356","bayesian-networks","45","",""
"358","orange","187","9921","9920"
"359","churn","30","",""
"360","naive-bayes-classifier","157","9984","9983"
"361","image-recognition","228","10017","10016"
"362","market-basket-analysis","22","48866","48865"
"363","association-rules","65","",""
"364","audio-recognition","81","",""
"365","rbm","29","10129","10128"
"366","interpolation","20","10137","10136"
"367","recommender-system","350","25261","25260"
"368","regularization","134","48959","48958"
"370","dbscan","54","48666","48665"
"372","pca","248","23174","23173"
"373","randomized-algorithms","18","",""
"374","rnn","488","10591","10590"
"376","labels","76","",""
"377","tsne","48","23176","23175"
"378","manifold","7","",""
"380","stanford-nlp","46","10929","10928"
"382","dropout","58","48856","48855"
"383","training","434","",""
"386","amazon-ml","9","",""
"388","geospatial","64","11343","11342"
"389","sequential-pattern-mining","43","",""
"393","gpu","130","",""
"395","jaccard-coefficient","14","48811","48810"
"396","pyspark","109","48580","48579"
"397","jupyter","110","48813","48812"
"398","sentiment-analysis","154","48578","48577"
"400","torch","15","",""
"401","competitions","7","",""
"402","overfitting","223","48509","48508"
"403","powerbi","22","48949","48948"
"407","prediction","328","",""
"409","score","26","",""
"410","encoding","114","",""
"411","spss","5","49046","49045"
"412","gaussian","67","",""
"415","mutual-information","14","48868","48867"
"416","bayesian","87","",""
"422","etl","9","",""
"427","graphical-model","25","",""
"434","domain-adaptation","9","",""
"437","methodology","25","",""
"438","theory","35","",""
"439","reductions","2","",""
"442","distribution","120","",""
"443","text-generation","47","",""
"444","estimators","17","",""
"445","information-theory","29","57262","57261"
"450","cost-function","59","",""
"452","data-augmentation","73","",""
"455","data.table","13","",""
"457","inception","42","",""
"458","caffe","17","48662","48661"
"459","redshift","5","17602","17601"
"461","text-filter","7","",""
"464","management","9","",""
"465","variance","78","",""
"466","regex","29","48957","48956"
"467","noisification","3","",""
"468","privacy","10","",""
"470","vc-theory","15","",""
"471","search-engine","15","",""
"473","community","4","",""
"474","monte-carlo","23","",""
"476","pytorch","343","16990","16989"
"478","dirichlet","6","48793","48792"
"480","plotting","111","",""
"481","matrix-factorisation","44","48818","48817"
"482","convolution","265","49288","49287"
"483","active-learning","16","",""
"484","tokenization","26","",""
"485","linux","12","",""
"486","data-leakage","27","",""
"487","gan","180","24887","24886"
"488","rattle","3","17451","17450"
"491","embeddings","110","",""
"499","ocr","62","25247","25246"
"502","linear-algebra","64","48860","48859"
"504","similar-documents","46","",""
"505","representation","29","",""
"510","lda-classifier","7","",""
"511","perceptron","67","48897","48896"
"512","automatic-summarization","24","",""
"513","nvidia","15","",""
"514","alex-net","10","",""
"519","smote","71","49042","49041"
"520","class-imbalance","357","82475","82474"
"521","dataframe","225","48519","48518"
"522","classifier","48","",""
"524","vector-space-models","25","",""
"527","lstm","868","25536","25535"
"528","forecasting","183","",""
"530","mnist","64","25538","25537"
"532","tfidf","84","",""
"533","learning-rate","25","",""
"534","twitter","17","",""
"535","cloud","10","",""
"537","batch-normalization","51","22487","22486"
"538","word","10","",""
"539","generative-models","112","56541","56540"
"550","game","15","23308","23307"
"552","ngrams","18","",""
"554","meta-learning","12","",""
"555","ensemble","24","",""
"556","pac-learning","14","24318","24317"
"557","cnn","1041","28890","28889"
"558","tranformation","4","",""
"559","seaborn","74","49020","49019"
"560","historgram","18","48807","48806"
"561","counts","10","",""
"562","numpy","261","48507","48506"
"564","activation-function","111","48617","48616"
"565","cloud-computing","19","",""
"566","homework","11","",""
"567","keras-rl","10","24515","24514"
"568","openai-gym","33","",""
"569","dqn","73","",""
"570","mini-batch-gradient-descent","47","",""
"571","neural-style-transfer","17","",""
"572","noise","25","",""
"575","yolo","57","",""
"576","ibm-watson","1","48809","48808"
"577","speech-to-text","34","49044","49043"
"580","matplotlib","151","48596","48595"
"581","tflearn","11","",""
"582","learning-to-rank","18","",""
"583","anomaly","7","",""
"584","actor-critic","25","58477","58476"
"585","grid-search","74","48676","48675"
"586","hyperparameter-tuning","145","",""
"587","bayes-error","7","35927","35926"
"588","transfer-learning","122","26090","26089"
"591","kernel","73","43586","43585"
"593","reshape","27","",""
"594","project-planning","11","",""
"596","scipy","65","49018","49017"
"598","bias","58","",""
"599","markov-hidden-model","31","48816","48815"
"600","math","81","",""
"601","recurrent-neural-net","189","",""
"602","sequence-to-sequence","76","",""
"603","natural-language-process","243","30094","30093"
"605","svr","13","",""
"606","vgg16","34","",""
"607","object-detection","222","57308","57307"
"608","automation","9","",""
"609","glorot-initialization","2","",""
"610","faster-rcnn","41","",""
"611","ensemble-learning","30","",""
"612","k-nn","125","43051","43050"
"613","hardware","23","",""
"614","ai","52","",""
"617","colab","42","",""
"618","data-science-model","369","",""
"619","machine-learning-model","448","",""
"621","mlp","74","63784","63783"
"623","annotation","22","",""
"624","normal-equation","7","",""
"627","metric","145","",""
"628","data-analysis","158","",""
"629","self-driving","6","",""
"630","generalization","24","",""
"631","boosting","95","",""
"632","objective-function","17","",""
"633","predictor-importance","28","",""
"634","momentum","4","",""
"637","weight-initialization","28","",""
"640","dplyr","14","48795","48794"
"641","epochs","27","",""
"644","cs231n","4","",""
"645","gridsearchcv","50","",""
"646","sensors","8","",""
"651","mcmc","5","48820","48819"
"652","probabilistic-programming","12","",""
"656","policy-gradients","52","",""
"660","stacked-lstm","17","",""
"662","ndcg","8","",""
"663","fastai","8","48804","48803"
"664","pipelines","55","48899","48898"
"667","nlg","8","36831","36830"
"669","heatmap","19","48743","48742"
"670","deep-network","56","",""
"671","collinearity","20","",""
"673","matrix","49","39146","39145"
"674","spatial-transformer","3","",""
"675","evolutionary-algorithms","13","",""
"677","opencv","70","48895","48894"
"678","feature-reduction","6","",""
"680","activity-recognition","6","",""
"682","orange3","25","",""
"686","features","48","",""
"687","genetic-programming","5","",""
"690","attention-mechanism","59","",""
"693","rbf","8","43049","43048"
"696","neural","20","",""
"699","ml","18","",""
"700","implementation","50","",""
"701","code","9","",""
"704","image-size","5","",""
"707","imbalanced-learn","38","",""
"708","smotenc","7","",""
"709","image-preprocessing","115","",""
"711","deepmind","9","",""
"712","wolfram-language","4","45101","45100"
"713","chatbot","11","",""
"716","finite-precision","6","",""
"717","h2o","8","45591","45590"
"718","dynamic-programming","5","",""
"719","ridge-regression","16","48961","48960"
"720","image","47","",""
"721","discounted-reward","8","",""
"723","difference","9","",""
"724","3d-reconstruction","10","",""
"725","sagemaker","12","48614","48613"
"728","transformer","106","54047","54046"
"729","gmm","6","48407","48406"
"730","bert","148","48405","48404"
"731","dummy-variables","30","",""
"732","pip","11","47323","47322"
"734","aws-lambda","2","48791","48790"
"735","serialisation","4","",""
"737","density-estimation","11","48148","48147"
"738","mathematics","55","",""
"739","finetuning","16","",""
"741","vae","25","",""
"743","web-scraping","22","",""
"744","mean-shift","2","",""
"745","structured-data","7","",""
"746","fuzzy-classification","2","",""
"747","probability-calibration","29","",""
"752","categories","3","",""
"754","gaussian-process","18","",""
"755","inceptionresnetv2","11","",""
"756","explainable-ai","35","52018","52017"
"757","softmax","30","",""
"759","coursera","10","",""
"763","manhattan","3","",""
"764","mse","20","57264","57263"
"767","lasso","16","53644","53643"
"769","lightgbm","46","",""
"770","pooling","11","",""
"772","one-shot-learning","6","",""
"774","feature-map","2","",""
"775","movielens","4","",""
"776","knime","3","57219","57218"
"779","spacy","39","57215","57214"
"780","allennlp","3","57217","57216"
"783","tesseract","4","",""
"786","pytorch-geometric","6","",""
"788","stemming","2","57670","57669"
"789","pickle","13","57668","57667"
"790","multi-instance-learning","3","",""
"791","arima","28","",""
"795","causalimpact","8","",""
"798","unseen-data","4","",""
"799","automl","6","",""
"801","question-answering","18","",""
"802","doc2vec","9","",""
"806","networkx","6","",""
"808","time","20","",""
"811","sparsity","4","",""
"813","multi-output","23","",""
"814","corpus","7","",""
"816","wikipedia","2","",""
"817","siamese-networks","15","",""
"818","semantic-similarity","17","",""
"819","python-3.x","135","",""
"820","statsmodels","23","",""
"822","non-parametric","11","",""
"823","bayesian-nonparametric","4","",""
"826","huggingface","12","",""
"827","image-segmentation","54","",""
"828","adaboost","21","",""
"830","rmse","8","",""
"831","anova","7","",""
"833","gru","21","",""
"834","openai-gpt","14","",""
"836","one-hot-encoding","49","",""
"838","pruning","11","",""
"839","multivariate-distribution","24","",""
"840","auc","28","",""
"841","ann","11","",""
"846","least-squares-svm","2","",""
"847","categorical-encoding","42","",""
"851","groupby","16","64293","64292"
"852","c++","3","",""
"853","pearsons-correlation-coefficient","12","",""
"854","spearmans-rank-correlation","5","",""
"855","kendalls-tau-coefficient","3","",""
"856","predict","14","",""
"857","nl2sql","2","",""
"858","frequentist","2","",""
"859","google-cloud","12","",""
"860","spyder","6","",""
"863","pattern-recognition","16","",""
"864","text-classification","106","",""
"865","3d-object-detection","4","",""
"867","encoder","5","",""
"869","linearly-separable","5","",""
"870","data-engineering","13","",""
"871","metaheuristics","3","",""
"874","spectral-clustering","7","",""
"876","sparse","12","",""
"877","f1score","24","",""
"879","natural-gradient-boosting","8","",""
"880","ngboost","2","",""
"881","linear-programming","2","",""
"882","cart","7","",""
"883","structural-equation-modelling","4","",""
"884","exploratory-factor-analysis","6","",""
"886","information-extraction","7","",""
"887","mlflow","2","",""
"888","shap","17","",""
"890","hashingvectorizer","4","",""
"891","naive-bayes-algorithim","4","",""
"892","skorch","2","",""
"895","bokeh","3","",""
"896","plotly","6","",""
"898","sap","2","",""
"901","mxnet","3","",""
"903","tpu","2","68109","68108"
"904","cuda","5","",""
"905","isolation-forest","7","",""
"907","infere","4","",""
"908","interpretation","22","",""
"909","elastic-net","4","",""
"911","ner","15","",""
"913","functional-api","4","",""
"914","bagging","9","",""
"916","chi-square-test","6","",""
"918","target-encoding","6","",""
"920","bootstraping","8","",""
"922","confidence","9","",""
"924","labelling","8","",""
"926","gradient","13","",""
"927","graphviz","2","",""
"928","esl","4","",""
"929","kerastuner","1","",""
"930","crisp-dm","3","",""
"931","gnn","2","",""
"932","graph-neural-network","15","",""
"933","knowledge-graph","5","",""
"934","early-stopping","5","",""
"935","estimation","5","",""
"936","estimation-updating","1","",""
"937","duplicate-records","1","",""
"938","fasttext","6","",""
"940","imputation","1","",""
"941","latex","1","",""
"942","lime","4","82667","82666"
"943","derivation","13","",""
"947","field-aware-factorization-machines","2","",""
"948","hashing-trick","3","",""
"949","or-tools","1","",""
"951","stab","1","",""
"952","roc","10","",""
"953","windows","10","",""
"954","autoencodere","1","",""
"955","document-term-matrix","3","",""
"956","bag-of-words","6","",""
"957","imbalance","4","",""
"958","api","4","",""
"959","permutation-test","2","",""
"960","hypothesis-testing","8","",""
"961","semantic-segmentation","8","",""
"962","backbone-network","2","",""
"963","context-vector","2","",""
"964","communication","1","",""
"965","grammar-inference","1","",""
"966","bart","1","",""
"967","pretraining","9","",""
"969","pdp","1","",""
"970","shiny","2","",""
"971","catboost","7","",""
"972","boruta","2","",""
"973","poisson","3","",""
"974","google-data-studio","5","80763","80762"
"975","google-bigquery","2","80765","80764"
"976","google-cloud-platform","4","80768","80767"
"977","generlized-advantaged-estimation","1","",""
"978","document-understanding","1","",""
"979","cause-and-effect","2","",""
"980","loss","5","",""
"984","principal-axis","1","",""
"985","stacking","1","",""
"986","machine","3","",""
"987","normal","1","",""
"988","mean","4","",""
"989","pearson","1","",""
"990","rfe","1","",""
"991","hmm","1","",""
"994","sgd","2","",""
"995","rmsprop","1","",""
"997","federated-learning","1","",""
"998","concept-drift","1","",""
"999","validation","1","",""